id,start_time,target_color,completed,proposal_sd,from_mturk,mturk_code
67,2015-05-03 04:42:34.077833+00,purple,true,50.0,true,ctcs67
68,2015-05-03 04:47:45.810901+00,violet,false,50.0,true,""
13,2015-05-02 22:05:05.700583+00,crimson,true,50.0,false,""
14,2015-05-02 22:20:58.288733+00,crimson,true,50.0,false,""
16,2015-05-03 00:13:17.570734+00,sky blue,true,50.0,false,""
17,2015-05-03 00:15:41.708825+00,crimson,false,50.0,false,""
18,2015-05-03 00:36:32.591239+00,violet,false,50.0,false,""
19,2015-05-03 00:45:34.094477+00,violet,true,50.0,false,""
20,2015-05-03 00:47:44.926461+00,crimson,false,50.0,false,""
22,2015-05-03 02:03:16.308345+00,violet,false,50.0,true,""
21,2015-05-03 02:02:06.405279+00,purple,true,50.0,true,ilvs21
23,2015-05-03 02:04:31.707604+00,purple,true,50.0,true,neoa23
26,2015-05-03 02:09:23.7234+00,violet,false,50.0,true,""
27,2015-05-03 02:10:48.746703+00,violet,false,50.0,true,""
28,2015-05-03 02:10:49.226711+00,purple,false,50.0,true,""
24,2015-05-03 02:07:24.776727+00,crimson,true,50.0,true,mvep24
25,2015-05-03 02:07:34.844325+00,purple,true,50.0,true,qopw25
29,2015-05-03 02:12:16.749211+00,crimson,false,50.0,true,""
30,2015-05-03 02:13:24.974304+00,crimson,true,50.0,true,awwq30
31,2015-05-03 02:17:17.544209+00,crimson,false,50.0,true,""
32,2015-05-03 02:18:23.639912+00,sky blue,true,50.0,true,skwg32
33,2015-05-03 02:19:34.87197+00,crimson,true,50.0,true,uqgi33
34,2015-05-03 02:21:50.420574+00,sky blue,false,50.0,true,""
35,2015-05-03 02:23:33.198147+00,purple,false,50.0,true,""
36,2015-05-03 02:23:58.34902+00,purple,true,50.0,true,zyle36
37,2015-05-03 02:25:39.803981+00,crimson,true,50.0,true,uqyn37
38,2015-05-03 02:42:23.270277+00,sky blue,true,50.0,true,ulty38
39,2015-05-03 02:51:09.992988+00,sky blue,false,50.0,true,""
40,2015-05-03 02:53:18.59076+00,purple,true,50.0,true,plfa40
41,2015-05-03 02:55:51.910469+00,sky blue,true,50.0,true,zfqv41
43,2015-05-03 03:03:37.849537+00,sky blue,true,50.0,true,mmft43
42,2015-05-03 03:02:43.98719+00,violet,true,50.0,true,alkh42
46,2015-05-03 03:13:08.970318+00,purple,true,50.0,true,kdbm46
45,2015-05-03 03:13:04.513424+00,sky blue,true,50.0,true,dutp45
44,2015-05-03 03:11:03.291209+00,violet,true,50.0,true,gudd44
48,2015-05-03 03:28:13.743262+00,purple,false,50.0,true,""
47,2015-05-03 03:26:45.947816+00,sky blue,true,50.0,true,dxuy47
49,2015-05-03 03:28:58.182387+00,purple,true,50.0,true,hfra49
50,2015-05-03 03:29:47.200764+00,violet,true,50.0,true,fbqe50
51,2015-05-03 03:32:58.18901+00,purple,true,50.0,true,edfa51
52,2015-05-03 03:40:45.798061+00,crimson,false,50.0,true,""
55,2015-05-03 03:47:57.109129+00,violet,false,50.0,true,""
54,2015-05-03 03:45:14.749033+00,violet,true,50.0,true,oiqm54
53,2015-05-03 03:45:12.863509+00,purple,true,50.0,true,murg53
56,2015-05-03 03:49:59.006868+00,sky blue,true,50.0,true,tanq56
58,2015-05-03 03:51:28.146762+00,crimson,true,50.0,true,gofj58
57,2015-05-03 03:51:24.525084+00,sky blue,true,50.0,true,mshx57
59,2015-05-03 03:58:30.797466+00,purple,true,50.0,true,apbk59
60,2015-05-03 04:16:30.207763+00,violet,false,50.0,true,""
61,2015-05-03 04:19:55.868386+00,crimson,false,50.0,true,""
62,2015-05-03 04:20:01.896103+00,sky blue,true,50.0,true,cibc62
63,2015-05-03 04:22:42.503721+00,violet,true,50.0,true,scwv63
64,2015-05-03 04:33:28.702461+00,crimson,false,50.0,true,""
66,2015-05-03 04:37:07.73486+00,sky blue,false,50.0,true,""
65,2015-05-03 04:33:58.169369+00,purple,true,50.0,true,cfub65
69,2015-05-03 04:47:45.939905+00,sky blue,true,50.0,true,ulna69
71,2015-05-03 04:56:20.802195+00,purple,false,50.0,true,""
70,2015-05-03 04:55:12.995104+00,purple,true,50.0,true,egfr70
72,2015-05-03 04:58:37.093171+00,crimson,true,50.0,false,""
73,2015-05-03 05:00:37.741182+00,violet,false,50.0,false,""
74,2015-05-03 05:19:44.166066+00,sky blue,true,50.0,true,iemd74
75,2015-05-03 05:25:59.809745+00,violet,true,50.0,true,jinv75
76,2015-05-03 05:29:14.155861+00,purple,true,50.0,true,hmej76
77,2015-05-03 05:33:49.53473+00,crimson,true,50.0,true,yrfe77
78,2015-05-03 05:35:46.940382+00,crimson,true,50.0,true,xcrw78
79,2015-05-03 05:47:24.592322+00,violet,true,50.0,true,iidw79
80,2015-05-03 05:57:10.800923+00,purple,true,50.0,true,upqq80
82,2015-05-03 06:23:46.096415+00,purple,false,50.0,true,""
81,2015-05-03 06:19:35.339588+00,purple,true,50.0,true,umuj81
83,2015-05-03 06:26:01.637558+00,sky blue,true,50.0,true,iylw83
86,2015-05-03 06:30:09.74086+00,purple,false,50.0,true,""
84,2015-05-03 06:29:50.731859+00,sky blue,true,50.0,true,detz84
85,2015-05-03 06:30:03.578723+00,purple,true,50.0,true,bmcd85
87,2015-05-03 06:39:07.399098+00,violet,true,50.0,true,giye87
88,2015-05-03 06:54:50.053122+00,sky blue,true,50.0,true,grhe88
90,2015-05-03 07:00:24.10851+00,violet,false,50.0,true,""
89,2015-05-03 06:58:01.577168+00,purple,true,50.0,true,vlzy89
91,2015-05-03 07:00:24.252077+00,sky blue,true,50.0,true,rbik91
92,2015-05-03 07:03:15.263158+00,violet,true,50.0,true,pdmz92
93,2015-05-03 07:21:55.127143+00,purple,true,50.0,true,igrh93
94,2015-05-03 07:24:32.475376+00,purple,true,50.0,true,kvdj94
95,2015-05-03 07:27:44.108253+00,violet,true,50.0,true,wokw95
96,2015-05-03 07:31:47.192294+00,violet,true,50.0,true,uuss96
97,2015-05-03 07:34:17.17521+00,sky blue,true,50.0,false,""
99,2015-05-03 07:37:02.184591+00,sky blue,false,50.0,false,""
98,2015-05-03 07:34:27.598195+00,sky blue,true,50.0,true,tpej98
100,2015-05-03 07:40:48.040935+00,crimson,false,50.0,false,""
101,2015-05-03 07:43:32.660128+00,violet,true,50.0,true,khys101
102,2015-05-03 07:57:07.080969+00,violet,true,50.0,true,xvcb102
104,2015-05-03 08:28:14.559345+00,sky blue,false,50.0,true,""
105,2015-05-03 08:28:14.808798+00,violet,false,50.0,true,""
103,2015-05-03 08:28:13.516507+00,violet,true,50.0,true,qtfy103
106,2015-05-03 08:39:53.595327+00,crimson,false,50.0,false,""
107,2015-05-03 08:59:33.180845+00,purple,true,50.0,true,nroy107
108,2015-05-03 09:05:02.793712+00,violet,true,50.0,true,oigf108
109,2015-05-03 09:24:28.967207+00,purple,true,50.0,true,aqmn109
111,2015-05-03 10:31:16.90055+00,crimson,false,50.0,true,""
110,2015-05-03 09:49:52.237741+00,crimson,true,50.0,true,eoth110
112,2015-05-03 10:42:26.113291+00,sky blue,true,50.0,true,xdld112
113,2015-05-03 10:56:45.157413+00,purple,true,50.0,true,occp113
114,2015-05-03 11:16:42.737034+00,purple,true,50.0,true,zxmn114
115,2015-05-03 11:33:25.655692+00,violet,true,50.0,true,zfvo115
116,2015-05-03 11:54:43.614987+00,violet,true,50.0,true,gxlc116
118,2015-05-03 11:58:46.41928+00,sky blue,false,50.0,true,""
117,2015-05-03 11:57:08.514616+00,crimson,true,50.0,true,rlwr117
119,2015-05-03 12:06:25.837403+00,crimson,true,50.0,true,lbuj119
120,2015-05-03 12:25:52.777739+00,sky blue,false,50.0,true,""
121,2015-05-03 12:37:23.97255+00,crimson,true,50.0,true,kyad121
122,2015-05-03 13:01:12.087282+00,crimson,false,50.0,true,""
123,2015-05-03 13:11:54.871682+00,violet,true,50.0,true,xrbw123
124,2015-05-03 13:39:40.548667+00,purple,true,50.0,true,zdeo124
125,2015-05-03 13:42:40.4717+00,purple,true,50.0,true,bljk125
126,2015-05-03 13:50:16.82077+00,crimson,false,50.0,true,""
127,2015-05-03 14:12:56.431632+00,sky blue,true,50.0,true,lvjb127
128,2015-05-03 14:15:41.153993+00,sky blue,true,50.0,true,ixoi128
129,2015-05-03 14:17:48.762141+00,sky blue,true,50.0,true,rtpe129
131,2015-05-03 14:26:13.05879+00,sky blue,true,50.0,true,huzs131
130,2015-05-03 14:25:57.014592+00,violet,true,50.0,true,vuki130
132,2015-05-03 14:52:30.828643+00,crimson,false,50.0,true,""
135,2015-05-03 14:53:03.523378+00,crimson,false,50.0,true,""
137,2015-05-03 14:53:22.290454+00,purple,false,50.0,true,""
134,2015-05-03 14:52:58.781002+00,purple,true,50.0,true,cnnr134
133,2015-05-03 14:52:54.181699+00,sky blue,true,50.0,true,nali133
138,2015-05-03 14:53:23.997063+00,purple,true,50.0,true,rcpq138
140,2015-05-03 14:57:26.123764+00,crimson,false,50.0,true,""
141,2015-05-03 14:57:38.28116+00,violet,false,50.0,true,""
136,2015-05-03 14:53:15.124122+00,crimson,true,50.0,true,zudi136
139,2015-05-03 14:53:36.757404+00,violet,true,50.0,true,toly139
142,2015-05-03 14:57:52.542061+00,purple,true,50.0,true,xuuo142
143,2015-05-03 15:00:43.526611+00,crimson,false,50.0,true,""
146,2015-05-03 15:05:53.739837+00,violet,false,50.0,true,""
145,2015-05-03 15:04:13.342394+00,sky blue,true,50.0,true,igxo145
144,2015-05-03 15:03:19.301301+00,purple,true,50.0,true,foms144
148,2015-05-03 15:09:50.806959+00,sky blue,false,50.0,true,""
147,2015-05-03 15:08:01.523157+00,crimson,true,50.0,true,mgaj147
149,2015-05-03 15:11:37.847199+00,violet,true,50.0,true,dfuq149
150,2015-05-03 15:15:19.50817+00,purple,true,50.0,true,xwmn150
151,2015-05-03 15:18:45.252626+00,violet,true,50.0,true,afbv151
153,2015-05-03 15:22:23.830895+00,sky blue,false,50.0,true,""
152,2015-05-03 15:19:51.813711+00,sky blue,true,50.0,true,wzxw152
154,2015-05-03 15:23:49.001173+00,sky blue,false,50.0,true,""
155,2015-05-03 15:24:23.816223+00,sky blue,true,50.0,true,hgfu155
156,2015-05-03 15:29:13.862698+00,purple,false,50.0,true,""
157,2015-05-03 15:36:06.386266+00,crimson,false,50.0,true,""
160,2015-05-03 15:41:05.467326+00,violet,false,50.0,true,""
158,2015-05-03 15:36:46.791476+00,sky blue,true,50.0,true,mmic158
159,2015-05-03 15:40:09.634622+00,crimson,true,50.0,true,uneo159
161,2015-05-03 15:41:56.614933+00,sky blue,true,50.0,true,brdg161
163,2015-05-03 15:45:39.483793+00,violet,false,50.0,true,""
162,2015-05-03 15:43:51.012741+00,sky blue,true,50.0,true,ayoz162
164,2015-05-03 15:45:56.48465+00,violet,true,50.0,true,zcvu164
165,2015-05-03 15:53:28.970954+00,crimson,false,50.0,true,""
166,2015-05-03 15:53:34.742304+00,violet,true,50.0,true,tqxv166
167,2015-05-03 15:56:20.260846+00,violet,true,50.0,true,xfjn167
