id,question_number,timestamp,color_left,color_right,selected_color,participant_id
814,1,2015-05-03 00:13:21.35149+00,"rgb(159, 179, 24)","rgb(143, 190, 169)","rgb(143, 190, 169)",16
823,10,2015-05-03 00:13:49.060917+00,"rgb(69, 145, 231)","rgb(54, 148, 169)","rgb(69, 145, 231)",16
832,19,2015-05-03 00:14:02.087397+00,"rgb(69, 209, 228)","rgb(40, 217, 230)","rgb(40, 217, 230)",16
841,28,2015-05-03 00:14:14.525753+00,"rgb(26, 228, 247)","rgb(36, 248, 249)","rgb(26, 228, 247)",16
850,37,2015-05-03 00:14:26.559415+00,"rgb(157, 215, 249)","rgb(157, 210, 111)","rgb(157, 215, 249)",16
859,46,2015-05-03 00:14:35.999887+00,"rgb(104, 197, 239)","rgb(157, 215, 249)","rgb(157, 215, 249)",16
868,55,2015-05-03 00:14:44.580301+00,"rgb(157, 215, 249)","rgb(125, 134, 235)","rgb(157, 215, 249)",16
877,64,2015-05-03 00:14:51.231024+00,"rgb(157, 215, 249)","rgb(97, 231, 245)","rgb(157, 215, 249)",16
886,73,2015-05-03 00:14:59.361612+00,"rgb(157, 215, 249)","rgb(168, 234, 189)","rgb(157, 215, 249)",16
895,82,2015-05-03 00:15:09.171785+00,"rgb(157, 215, 249)","rgb(171, 186, 206)","rgb(157, 215, 249)",16
904,91,2015-05-03 00:15:15.546256+00,"rgb(182, 189, 250)","rgb(157, 215, 249)","rgb(157, 215, 249)",16
913,100,2015-05-03 00:15:22.265447+00,"rgb(157, 215, 249)","rgb(194, 210, 195)","rgb(157, 215, 249)",16
922,109,2015-05-03 00:15:29.355708+00,"rgb(107, 255, 199)","rgb(157, 215, 249)","rgb(157, 215, 249)",16
931,118,2015-05-03 00:15:36.583057+00,"rgb(157, 215, 249)","rgb(109, 193, 222)","rgb(157, 215, 249)",16
940,3,2015-05-03 00:45:41.678363+00,"rgb(158, 110, 127)","rgb(101, 58, 199)","rgb(101, 58, 199)",19
